# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	0.00032003083283501	0.15584118015206	0.1172896890899	0.36384939180752	0.12892335369445	0.0058744775679238	0.22266981613001	0.79675717267436	0.11602041621477	2.1246677180321	4.0322132461959
0.48	0.0003617559527864	0.15594326035329	0.11744802568024	0.36492221356295	0.1290199182699	0.0058963455416669	0.22274182057383	0.79668144243231	0.11606245635949	1.704577112314	3.6136543510404
0.872	0.00036550697167847	0.15617315223874	0.11766783354631	0.36663430309728	0.12919617595079	0.0059268239036783	0.22285321527246	0.79657436371898	0.11612553140926	1.2954494667761	3.2069663728853
1	0.00036530722109352	0.15626273150111	0.11773935499671	0.36721562653421	0.12925745486901	0.0059367687121568	0.22289010251353	0.79653940613011	0.11614622508698	1.1860187278916	3.0983717054565
1.2	0.00025591217621881	0.15641628477405	0.11784954579087	0.3681169685761	0.12935631565364	0.0059521343025227	0.2229380798897	0.79646407460181	0.11616834996476	1.0340336958396	2.9475513615693
1.48	0.00023269679708413	0.15666485588346	0.11799895980269	0.36938493579841	0.12949897500067	0.0059730801759205	0.22298996303959	0.79634981407574	0.11618944514058	0.85395642317669	2.7692391488908
1.872	0.00023024805889097	0.15705933429979	0.11819995352402	0.37117886019834	0.12970153866203	0.0060014545639911	0.22305614097927	0.79618973309438	0.11621673177799	0.6537765773774	2.5716105725361
2	0.00023013952570409	0.15719465054074	0.11826425249076	0.37176677423691	0.12976788618914	0.0060105718816113	0.2230774960625	0.7961374726127	0.11622559101816	0.59872233390267	2.5173971684609
2.2	0.00016080360730051	0.15741389086823	0.11836064210642	0.3726409122379	0.12986359300375	0.0060243191291383	0.2230999232675	0.79604286376238	0.11623269158777	0.52185657163477	2.4416962112052
2.48	0.00014666653132769	0.15773732423754	0.11848441041478	0.37376479201418	0.12997333942231	0.0060421793293355	0.22311646812019	0.79590499464416	0.11623632909828	0.43062063897936	2.3520271427915
2.872	0.00014533982578784	0.15821052603781	0.11863980160684	0.37523707144672	0.13010360448408	0.0060649631818892	0.22313409634542	0.79571194234994	0.11624004515327	0.32920461537301	2.2526920058048
3	0.00014532540489766	0.15836779545656	0.11868766677028	0.37570667482208	0.13014423466563	0.0060720493851291	0.22313965166234	0.79564891843417	0.11624122879885	0.30131775935947	2.2254713047594
3.2	0.00010364412874958	0.15861795064052	0.11875784552461	0.37639560782758	0.13019885737549	0.0060825438812186	0.22314133198343	0.79554213900497	0.11623892576105	0.26239996841121	2.1874788145388
3.48	9.5368111469329e-05	0.15897618344843	0.11884640294395	0.37727482612508	0.13025525543105	0.0060960165559332	0.22313449707471	0.79538920834053	0.11623189707967	0.21624094390699	2.1425405990178
3.872	9.4706262438438e-05	0.15948515340673	0.11895736600738	0.37843161274693	0.13031917274074	0.0061132435229622	0.22312161517471	0.79517511075704	0.1162212461397	0.16495350656912	2.0928727333278
4	9.4738610046266e-05	0.15965216395676	0.11899175625462	0.37880189791372	0.13033901461529	0.0061186400548674	0.2231172910754	0.79510521647417	0.11621775149008	0.15085202375043	2.0792904941954
4.2	6.9044158811721e-05	0.15991461617294	0.11904317211122	0.37935134732133	0.13036393950775	0.0061267813472326	0.2231060690872	0.79499069712711	0.1162096983839	0.13117644368541	2.0603518089029
4.48	6.4042252046728e-05	0.16028343571884	0.11911023132214	0.38006951658942	0.13038708700977	0.006137559368777	0.22308460556199	0.79482818376865	0.1161960729705	0.1078473322245	2.0380080667866
4.872	6.3765064436882e-05	0.1607980912052	0.11919738155309	0.3810323394877	0.13041202376369	0.0061518045134071	0.2230525134882	0.79460069320014	0.11617650171945	0.081933105732727	2.013418219728
5	6.3831333837738e-05	0.160965564296	0.1192248553245	0.38134209835053	0.13041970271821	0.0061563347480967	0.22304196211249	0.79452642657514	0.11617010130419	0.074809059981515	2.0067199367445
5.2	4.7883343738176e-05	0.16122667567793	0.11926641163804	0.38180680306452	0.13042791667502	0.0061632415710194	0.22302265007833	0.79440704303382	0.1161584842989	0.064872574222499	1.9973996836038
5.48	4.4848872589031e-05	0.16158945669259	0.11932132914901	0.38242357648291	0.13043274151179	0.0061724999320993	0.22299200343439	0.79423853228222	0.11614075754647	0.053099867892419	1.9864556137965
5.872	4.4851248340456e-05	0.16208959753313	0.11939321340975	0.38325440961659	0.13043559724477	0.0061848323865463	0.22294781262065	0.79400265739125	0.1161156298378	0.04003612940385	1.9745047306927
6	4.4958072852915e-05	0.16225121497802	0.11941585689204	0.38352117928978	0.1304362933396	0.0061887562174458	0.2229333360605	0.79392565336711	0.11610741885267	0.036447299615135	1.9712719666852
6.2	3.5219232607854e-05	0.16250155652555	0.11945010739929	0.38392378083237	0.13043506574262	0.006194744845963	0.22290897359753	0.79380332407573	0.11609360393046	0.031445984689706	1.9667923608718
6.48	3.346420118231e-05	0.16284605503176	0.11949534682995	0.38446150047798	0.13042946270389	0.0062027849976826	0.22287263484956	0.79363123265204	0.11607336359806	0.025530589556284	1.9615764348984
6.872	3.3758830851801e-05	0.16331470116892	0.11955395595905	0.38518224800035	0.13041939568166	0.0062134407644394	0.22282093772634	0.79339034922031	0.11604482842607	0.018985072609946	1.9559586883879
7	3.3936659593152e-05	0.16346467235523	0.11957217747862	0.38541190406613	0.13041596453049	0.0062168042975726	0.22280402292202	0.79331170951487	0.11603550639638	0.017190982145023	1.9544576803659
7.2	2.8353026209085e-05	0.16369482947229	0.11959946892562	0.38575845842593	0.13040923430715	0.0062219093212018	0.22277657757843	0.79318776729565	0.11602037456401	0.014696941381361	1.9523939142979
7.48	2.7567178382323e-05	0.16400681271727	0.11963490177249	0.38621927943362	0.13039755383518	0.0062287006405706	0.22273682919351	0.79301379934801	0.11599865829186	0.011761414415029	1.9500255168259
7.872	2.8344735402982e-05	0.16442084837899	0.11967894409242	0.38682458584957	0.130379810338	0.0062374927405076	0.22268062833832	0.79277028429713	0.11596811966789	0.0085433605379147	1.9475324189761
8	2.8682484612912e-05	0.16455079706642	0.11969209838206	0.38701384614479	0.13037390242846	0.0062402057950528	0.22266224372411	0.79269078387279	0.11595814250243	0.0076685400786351	1.9468792424794
8.2	2.599565455355e-05	0.1647466494692	0.11971114613467	0.38729617406514	0.13036389254738	0.0062442502778088	0.22263296821608	0.79256616256983	0.11594225501965	0.0064627380615532	1.9459922320159
8.48	2.6220822101872e-05	0.16500418106552	0.11973440718009	0.38766292516645	0.13034855884402	0.006249471203424	0.22259122194522	0.79239151487992	0.11591970934427	0.0050668366292077	1.9449950470802
8.872	2.8087801147537e-05	0.16532941906187	0.11975979508081	0.38812198807394	0.13032602036263	0.0062558478761244	0.22253231716348	0.79214702568928	0.11588802523639	0.0035854230861741	1.9439739494318
9	2.8821072074712e-05	0.16542769680773	0.11976646181699	0.38825998020695	0.13031852708101	0.0062577190026631	0.22251303230799	0.79206720296794	0.11587766844275	0.0031941679268031	1.9437112776329
