Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	3.4061627337955e-05	0.00016045082717734	0.011177808631611	1.0061216628661e-05	0.019719366162184	-0.12105083647989	4.2580064473248e-07	0.014393526878404
0.48	3.5197648749948e-05	0.00021317793699735	0.0044486057233669	1.1127515212083e-05	0.010641992506577	-0.099551734878795	6.595051128973e-08	0.0081040416374902
0.872	2.2908354039604e-05	0.00013286867242005	0.0003290483547205	7.2987582548051e-06	0.0043531808027525	-0.076063666468067	7.6411334916574e-10	0.039328755745441
1	2.1080304619575e-06	1.1158198437654e-05	5.9967994353043e-06	7.0776243773458e-07	0.00038128998821328	-0.069642827186877	1.3470469061593e-11	0.045223485864137
1.2	1.2560574348762e-08	1.0514338435604e-07	6.0974856433176e-08	4.4515178519912e-09	5.5498638636337e-06	-0.060718360643542	2.0530419870585e-13	0.058179903150387
1.48	9.6573094600946e-09	8.9848335688152e-08	3.8696837733865e-08	3.4102325357091e-09	3.7341053239002e-06	-0.050144240367262	1.7435543965852e-13	0.065435492430977
1.872	6.6958388261441e-09	6.4879235655697e-08	2.0300884406362e-08	2.3660842089594e-09	2.3912629043052e-06	-0.038389698873505	1.3676794264703e-13	0.077188847374181
2	6.1929489372679e-09	6.0332565790024e-08	1.6870432317045e-08	2.1893714387119e-09	2.1633618819968e-06	-0.035156918915314	1.2966061614199e-13	0.080421178426279
2.2	4.1453452405144e-09	4.3529080224102e-08	1.2183331766828e-08	1.4870654458976e-09	1.6389522069743e-06	-0.030643368631942	1.2115003547698e-13	0.084934193562846
2.48	3.2925125716259e-09	3.234524645782e-08	7.9209618704068e-09	1.1807030298939e-09	1.1472373620654e-06	-0.025286003293217	1.1268577674861e-13	0.090291044183415
2.872	2.9042485290612e-09	2.692108246538e-08	4.1632728155666e-09	1.0407265533977e-09	7.7664637116854e-07	-0.019330863966289	1.0483706441624e-13	0.09624579453843
3	2.8256914731502e-09	2.6035442354852e-08	3.2288079559458e-09	1.0127008704394e-09	7.0737514972301e-07	-0.017693350413723	1.0290963841955e-13	0.097883226112528
3.2	2.0527384052659e-09	1.8957286931548e-08	1.7271688331129e-09	7.4225038835828e-10	5.86774887687e-07	-0.015408101402198	1.0036216626906e-13	0.10016834567891
3.48	1.7527532568232e-09	1.4670811345753e-08	3.4239126504437e-10	6.3127602882707e-10	4.702650938304e-07	-0.012697647838407	9.7535622331089e-14	0.10287867633145
3.872	1.6463674253948e-09	1.2989888110738e-08	-1.0483945809793e-09	5.9192698288009e-10	3.813625305321e-07	-0.0096860543554493	9.4616481845663e-14	0.10589017704472
4	1.6269170845417e-09	1.2766405876014e-08	-1.4229451412001e-09	5.8493501779615e-10	3.6465556864864e-07	-0.0088580166141698	9.3851215169438e-14	0.10671819643005
4.2	1.2303056860014e-09	9.6399476421891e-09	-2.0584268388955e-09	4.4404687512628e-10	3.3407624941048e-07	-0.007702668408085	9.2808666635612e-14	0.10787350983547
4.48	1.0857596694878e-09	7.9150554414943e-09	-2.6390568353538e-09	3.8933554458669e-10	3.00808553773e-07	-0.0063327851827114	9.1608936104556e-14	0.10924335724436
4.872	1.0475672430669e-09	7.3315149152674e-09	-3.2239300835357e-09	3.7476949051557e-10	2.7291481025668e-07	-0.00481110424618	9.0320229491295e-14	0.11076500896906
5	1.0423442128534e-09	7.2681750831046e-09	-3.383502703333e-09	3.7288077056453e-10	2.6740887823033e-07	-0.0043927809512381	8.9973736687496e-14	0.1111833263727
5.2	8.159227593188e-10	5.7256771047387e-09	-3.6573745462626e-09	2.9146891889804e-10	2.5479848139873e-07	-0.0038093114441255	8.9495901477224e-14	0.11176678115876
5.48	7.3701054179029e-10	4.9287755047491e-09	-3.9124419088274e-09	2.6104027882863e-10	2.3922728562946e-07	-0.0031180192381182	8.8937789921104e-14	0.11245805661941
5.872	7.225214525631e-10	4.6970938195479e-09	-4.1345081699268e-09	2.552171159538e-10	2.2497708352369e-07	-0.0023509177453925	8.8328406239278e-14	0.1132251433611
6	7.2194440541614e-10	4.6809739190586e-09	-4.1911336271477e-09	2.5499083859829e-10	2.2204100282529e-07	-0.0021401819984527	8.8162792711614e-14	0.11343587605969
6.2	5.8949263887923e-10	3.8537054339983e-09	-4.2840510495009e-09	2.0663810854197e-10	2.1514839776842e-07	-0.001846505257406	8.7933273161796e-14	0.11372954480895
6.48	5.4548600273745e-10	3.4486129897629e-09	-4.3753451963584e-09	1.8925745160866e-10	2.0623131943171e-07	-0.001499153812686	8.7663696003163e-14	0.11407688677363
6.872	5.4288820653221e-10	3.3613088023723e-09	-4.4021525239629e-09	1.877912410451e-10	1.9756087710973e-07	-0.0011148016744838	8.7367759783093e-14	0.11446123011401
7	5.4477063376898e-10	3.3658417761594e-09	-4.4004695305534e-09	1.8841950492307e-10	1.9565749960058e-07	-0.0010094528514661	8.7287073835183e-14	0.11456657703104
7.2	4.7134285845028e-10	2.9216578719493e-09	-4.3864423712574e-09	1.6061676595611e-10	1.9161269551325e-07	-0.0008630030128706	8.7175215130379e-14	0.11471302229303
7.48	4.5027723419542e-10	2.7235539322469e-09	-4.3708408107162e-09	1.5164199772164e-10	1.8607951424695e-07	-0.00069062914605855	8.7044007068901e-14	0.11488539041193
7.872	4.5853407083266e-10	2.7286943728502e-09	-4.2591268510285e-09	1.5390488392723e-10	1.7993783217176e-07	-0.00050166532566779	8.690072772772e-14	0.11507434821473
8	4.6343263827461e-10	2.7522393374447e-09	-4.2130149491362e-09	1.5551817732755e-10	1.7837325809139e-07	-0.00045029595074239	8.6861877922553e-14	0.11512571609764
8.2	4.3107144836848e-10	2.5467618878506e-09	-4.1119844534295e-09	1.4144514708949e-10	1.7570498187209e-07	-0.00037949136993425	8.6808400372586e-14	0.11519651785875
8.48	4.3062774320422e-10	2.4952623060836e-09	-3.9924697061418e-09	1.3940638945774e-10	1.7161388345593e-07	-0.00029752416937617	8.6746593741842e-14	0.11527848103289
8.872	4.5743704006329e-10	2.6103870007072e-09	-3.7382268126137e-09	1.4743248166156e-10	1.6590523621704e-07	-0.00021053570573634	8.6681120239674e-14	0.11536546419106
9	4.6861226560557e-10	2.6662923138788e-09	-3.6449704199205e-09	1.5095769465119e-10	1.6416107450456e-07	-0.00018756123964948	8.6663848643848e-14	0.11538843707556
9.2	4.6674716638414e-10	2.6285975757926e-09	-3.4492913128655e-09	1.4627055790203e-10	1.6173779671632e-07	-0.00015675860276169	8.6640705536843e-14	0.11541923744031
9.48	4.908801018931e-10	2.7148226203524e-09	-3.2129802288883e-09	1.5124146795194e-10	1.5776093856913e-07	-0.00012285042549935	8.6615247700227e-14	0.1154531419921
9.872	5.4681645714877e-10	2.967007307014e-09	-2.8267216680735e-09	1.6715377244367e-10	1.5176926513803e-07	-8.987682773001e-05	8.6590510672228e-14	0.11548611030823
10	5.6658942004772e-10	3.0599696221767e-09	-2.6965456341792e-09	1.7297295852341e-10	1.49898823768e-07	-8.1773001012682e-05	8.6584434068661e-14	0.11549421251277
10.2	5.7845469020783e-10	3.1038836395832e-09	-2.4363303983965e-09	1.7183561715632e-10	1.4758764537379e-07	-7.1506334612971e-05	8.6576737165036e-14	0.11550447718275
10.48	6.1033852074418e-10	3.2304022573275e-09	-2.1414850414235e-09	1.7743647371686e-10	1.4427655760232e-07	-6.1163289393882e-05	8.6568985363675e-14	0.11551481737567
10.872	6.6081426028841e-10	3.4428653399082e-09	-1.7479103123744e-09	1.8976856602117e-10	1.4019095719923e-07	-5.2238653542027e-05	8.6562298723788e-14	0.1155237385947
11	6.7581450196864e-10	3.5080751537103e-09	-1.6270181849577e-09	1.9371022363891e-10	1.3907675992914e-07	-5.0220001445479e-05	8.6560786562599e-14	0.11552575633756
11.2	6.6732575999191e-10	3.4761380578268e-09	-1.3963276777316e-09	1.8668145514181e-10	1.3777577201737e-07	-4.7793399612869e-05	8.655896891758e-14	0.11552818182162
11.48	6.6612908085339e-10	3.4629729247797e-09	-1.1495670801014e-09	1.8208153857801e-10	1.3608369011436e-07	-4.5548483792419e-05	8.6557287772288e-14	0.11553042527315
11.872	6.7373824521607e-10	3.4822693807847e-09	-8.5489005410403e-10	1.8142719137262e-10	1.3430025721701e-07	-4.3811684829238e-05	8.6555987436185e-14	0.11553216060959
12	6.7675128658766e-10	3.492509025846e-09	-7.6892064390337e-10	1.8183100283585e-10	1.3387540778666e-07	-4.3443796430186e-05	8.6555712016279e-14	0.11553252817277
12.2	6.4636565463568e-10	3.3682864251125e-09	-6.0780495471652e-10	1.6965829533957e-10	1.3310339319819e-07	-4.304584253886e-05	8.6555414412153e-14	0.11553292534898
12.48	6.2066569595579e-10	3.2490614603952e-09	-4.3726837935771e-10	1.5904146785176e-10	1.3195856426418e-07	-4.2791490336511e-05	8.6555224673823e-14	0.11553317857134
12.872	6.0628434826846e-10	3.1699312033863e-09	-2.4117337502543e-10	1.5278817637917e-10	1.3073184427263e-07	-4.2734724411191e-05	8.655518297883e-14	0.11553323420688
13	6.0435652147425e-10	3.1576942763816e-09	-1.8506131268321e-10	1.5191640264403e-10	1.3046431744334e-07	-4.2741528948401e-05	8.6555188244372e-14	0.1155332271759
13.2	5.7032272496843e-10	3.0104615582407e-09	-8.0350339288022e-11	1.4004539403756e-10	1.2963886531917e-07	-4.2810997100677e-05	8.6555240981855e-14	0.11553315679387
13.48	5.4110803911052e-10	2.8702913250664e-09	3.184547056576e-11	1.2967879423796e-10	1.2840908428187e-07	-4.3034130787429e-05	8.6555409147262e-14	0.11553293236284
13.872	5.2346134054728e-10	2.7739631743962e-09	1.6010989828279e-10	1.2333755901068e-10	1.2711816368722e-07	-4.3397951350991e-05	8.6555682710421e-14	0.11553256725932
14	5.2072637632571e-10	2.7577879712559e-09	1.965575851231e-10	1.2237738649936e-10	1.2684860419162e-07	-4.3500916661278e-05	8.6555760049098e-14	0.11553246404103
14.2	4.9150839688361e-10	2.6245138357828e-09	2.6459457287371e-10	1.1294177378486e-10	1.2592961391528e-07	-4.3700143796049e-05	8.6555910098839e-14	0.11553226379103
14.48	4.66582775156e-10	2.4994187346325e-09	3.3929405276084e-10	1.0477715918801e-10	1.246129668477e-07	-4.4075786564096e-05	8.6556192621811e-14	0.11553188674812
14.872	4.5128985817766e-10	2.4132914489998e-09	4.2578786659293e-10	9.9757054544901e-11	1.2326086562008e-07	-4.4593963020579e-05	8.6556581918671e-14	0.11553136719963
15	4.4882727029401e-10	2.3985437542805e-09	4.5033505153153e-10	9.8978983754355e-11	1.229826137227e-07	-4.4735055140465e-05	8.6556687842222e-14	0.11553122583582
15.2	4.2558610538988e-10	2.2884521018887e-09	4.9631734194328e-10	9.1980764906089e-11	1.2201870303662e-07	-4.4994079953198e-05	8.655688273101e-14	0.11553096575276
15.48	4.0580936019788e-10	2.1859420698249e-09	5.4875570254983e-10	8.5952708328132e-11	1.2065761747491e-07	-4.5458655845543e-05	8.6557231930541e-14	0.1155304997399
15.872	3.9345483420752e-10	2.1148944730679e-09	6.1135086641011e-10	8.2213231937816e-11	1.1926323345275e-07	-4.6087364503661e-05	8.6557704099156e-14	0.11552986961233
16	3.9138719058943e-10	2.1024580666641e-09	6.2917680232574e-10	8.1618501055242e-11	1.1897619992981e-07	-4.6258577835587e-05	8.6557832606189e-14	0.1155296981147
16.2	3.7301050409264e-10	2.0135709864536e-09	6.6279188922551e-10	7.6487393690222e-11	1.1797191224695e-07	-4.6569782204689e-05	8.6558066621293e-14	0.11552938582727
16.48	3.5734845950655e-10	1.9310135102323e-09	7.031210677391e-10	7.2067179284546e-11	1.1655434229515e-07	-4.7122757328176e-05	8.6558482108135e-14	0.11552883137226
16.872	3.4730989558366e-10	1.87295325613e-09	7.5348030437081e-10	6.9278052716107e-11	1.1509092087069e-07	-4.7873343667903e-05	8.6559045671867e-14	0.11552807930199
17	3.4555016716348e-10	1.8624768680434e-09	7.6793287395268e-10	6.8818239675998e-11	1.1478757172838e-07	-4.8079337881172e-05	8.6559200259885e-14	0.11552787300619
17.2	3.3068725743466e-10	1.7900012581803e-09	7.9540347509784e-10	6.4995521474126e-11	1.1372757304245e-07	-4.8450582690877e-05	8.655947930817e-14	0.11552750063771
17.48	3.1797577698415e-10	1.7226340801465e-09	8.301304266528e-10	6.1691309134187e-11	1.1222731301518e-07	-4.9105352148578e-05	8.6559971147715e-14	0.11552684431933
17.872	3.0958074246241e-10	1.6743029726851e-09	8.7565016454557e-10	5.9555419301455e-11	1.1066355784125e-07	-4.9999141132843e-05	8.6560642119272e-14	0.11552594895326
18	3.0803535849709e-10	1.6652681720462e-09	8.888471430836e-10	5.9187426328382e-11	1.1033649083077e-07	-5.0246671373705e-05	8.6560827858197e-14	0.11552570109822
18.2	2.9561444944684e-10	1.6046756490348e-09	9.1408627864066e-10	5.625200905846e-11	1.0920518629751e-07	-5.0688049799915e-05	8.6561159522807e-14	0.11552525853779
18.48	2.8496087489167e-10	1.5482589180259e-09	9.472735574733e-10	5.3701787531085e-11	1.0760029477348e-07	-5.1458883086355e-05	8.6561738437105e-14	0.11552448606318
18.872	2.7771895930795e-10	1.50692375175e-09	9.9257437560626e-10	5.2006352929549e-11	1.0591270489035e-07	-5.2516343745934e-05	8.6562532188648e-14	0.11552342690997
19	2.7632446610488e-10	1.4989204195211e-09	1.0058442898872e-09	5.1700206985489e-11	1.0555646638015e-07	-5.2811863471526e-05	8.6562753922949e-14	0.11552313103759
19.2	2.6558740504832e-10	1.4467019633446e-09	1.0313031380854e-09	4.9359767625304e-11	1.0433983037738e-07	-5.3333318400411e-05	8.6563145675973e-14	0.1155226083262
19.48	2.5637634349265e-10	1.3980556589413e-09	1.0654925329101e-09	4.7316165866065e-11	1.0261080728626e-07	-5.4234797715791e-05	8.6563822624059e-14	0.11552170509215
19.872	2.4996537549958e-10	1.3617500429634e-09	1.1135392304793e-09	4.5919008115489e-11	1.0077857280878e-07	-5.5477391826963e-05	8.6564755276596e-14	0.11552046066976
