# Time [h]	hydro_Methanogenesis [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Acetic_Degradation [g/h]	Propionic_Degradation [g/h]	Acidogenesis_LCFA [g/h]	Acidogenesis_AA [g/h]	Butyric_Degradation [g/h]
0.2	3.2357863601951	0.63487849313856	0.36629422179455	1.4709218736977	3.1689679527034	2.3549986113214	0.71213673290095	0.77347993655447	1.040380260231
0.48	3.5090862229098	0.63177376807313	0.43509550089978	1.4067798410895	3.1459831020265	3.2593174845512	1.3476355619111	0.86983076584874	1.1366943435792
0.872	3.862183723309	0.62917074193823	0.4511176879885	1.4071422820625	3.1226847003676	3.7177856184675	1.8252557155595	0.8807590047821	1.1663704068997
1	3.9212494218441	0.62881356237509	0.45181934188682	1.4069719536339	3.1175551521969	3.7734996059385	1.9094829953614	0.88085539382853	1.1679241477029
1.2	3.8678013706352	0.61781634236617	0.37888866987645	0.92247480855612	3.0579744548487	3.9022645445105	2.1694824987988	0.62603486469682	0.97224494143764
1.48	3.9072312878268	0.60076826468912	0.34314464285589	0.91366973434339	2.9669074095248	3.9771553649192	2.4569898164742	0.56997551748222	0.88476967771495
1.872	3.9343858019455	0.58079106856507	0.33593161618401	0.91368214858222	2.8594606935366	4.0060969745364	2.7027811767295	0.56441932400251	0.86813878509715
2	3.9433440608096	0.57569929908735	0.33564262872146	0.91360241913939	2.8315814288936	4.0088725211617	2.7471521981276	0.5642956053581	0.86746492496874
2.2	3.6339062194914	0.54691433970823	0.25512346128009	0.61188828166517	2.6860157795854	3.5233149052492	2.884121260588	0.39775066697403	0.65660531815172
2.48	3.371130473551	0.50576126151606	0.22371456092466	0.60705508715825	2.4791126009045	2.9947238108938	3.0206486146233	0.36301013557192	0.57693790438475
2.872	3.2086913349735	0.46064765675712	0.21808477054429	0.60707404279831	2.2523037524675	2.7378961100484	3.1289306815169	0.35966408633586	0.56316429251807
3	3.1860674863516	0.44943701296679	0.2178717066888	0.60701831980377	2.1957364573048	2.7123003101421	3.1485797916006	0.3595857265354	0.56263562348863
3.2	2.900479757156	0.41881839473214	0.1666284036895	0.41396421192592	2.043679833969	2.2281049951422	3.2222224692623	0.25761679518289	0.42919842714474
3.48	2.6919157134631	0.38442256503305	0.14730679023614	0.41109568523749	1.8729618787747	1.837307749107	3.279486555877	0.23701335599437	0.38124909038994
3.872	2.5807873919662	0.35419035722493	0.14389456714314	0.41111085578885	1.7222551483307	1.6897054931267	3.3106204899177	0.23504292820418	0.37315428688985
4	2.5652450705183	0.34788189349479	0.14375501774895	0.4110580314927	1.6905201564327	1.6773173800106	3.3140243472191	0.23498340430855	0.37281858647899
4.2	2.3832101724583	0.33259149582843	0.11112646748762	0.28765540670497	1.6146396187074	1.3554237190648	3.3356829172097	0.17151793552371	0.28823464196221
4.48	2.2632291284299	0.31533623855814	0.09903412108759	0.28587520818841	1.5289426213411	1.1452550093876	3.3350871563556	0.15888337530557	0.25866565064286
4.872	2.1971691653257	0.29999616243589	0.096887906661651	0.28588120893963	1.4521406387125	1.076849530518	3.3119769081022	0.15765578058885	0.25367318433924
5	2.1854753561039	0.29666129279419	0.096783062626863	0.28581745253805	1.4352287421649	1.0713972811714	3.3025557623351	0.15759795277944	0.25342303099986
5.2	2.0658406426768	0.28723772404323	0.076121537389833	0.2080007985794	1.3884509363227	0.87456549750241	3.289690009338	0.118072360282	0.20011897234178
5.48	1.9836535720758	0.2754093105502	0.068496787078837	0.20685124099139	1.3297927856743	0.76103177230258	3.2527615151021	0.1101983936421	0.18167014454632
5.872	1.9257269639801	0.26333462639093	0.067096859388875	0.20684375728006	1.2695986912456	0.72617100022387	3.1909742862778	0.10938946211115	0.17844934069975
6	1.9119345221205	0.26025927563418	0.067001862030429	0.20675292815427	1.2541689020919	0.72311336668283	3.1700408200609	0.10931925224079	0.17821936234262
6.2	1.8265730960742	0.25266934855088	0.054179488181698	0.15970892935481	1.2166537468386	0.60423936923593	3.1323222582454	0.085200229872767	0.14546253346889
6.48	1.758380118752	0.24242348911429	0.049391702841374	0.15893646175836	1.1661375412564	0.53973756133455	3.0666308671433	0.080288085216971	0.13400676180261
6.872	1.6932833671997	0.23012120448041	0.048423195046425	0.15890392836069	1.1054689189558	0.51938589792206	2.965544275285	0.079702720108555	0.13178438388585
7	1.673776017797	0.22641398860262	0.048312571892802	0.15875440712648	1.0871904392912	0.51698583986667	2.9303930727322	0.079598152803069	0.13150751265767
7.2	1.6045186330827	0.21899757268898	0.04069388325875	0.13349859204637	1.0508571807813	0.44751303397007	2.8652359787484	0.065691158752836	0.11258208173798
7.48	1.5338047192297	0.20816349448206	0.037723049795056	0.13295348521554	0.99797250911923	0.40986752854634	2.7619870422176	0.062662685054744	0.1056257091208
7.872	1.4455590844078	0.19291572881358	0.036944098546274	0.13285344201307	0.92379069438901	0.3956514235212	2.6028917474426	0.062133437343785	0.10381207165018
8	1.4154952695894	0.18776975560828	0.036772184079816	0.13256548625889	0.89882002773446	0.39283489327648	2.5462102286405	0.061942800430687	0.10336274478197
8.2	1.3458858546971	0.17898459736269	0.032460763320603	0.12281156233964	0.85628854016177	0.35424352212199	2.4420299308593	0.054593472850597	0.0934542168031
8.48	1.2574021784677	0.16563470059747	0.030538387353393	0.12237253210797	0.79184844021852	0.33092130905377	2.2846903730145	0.052652386575676	0.089150500517925
8.872	1.1341902777737	0.14588696841807	0.029657685118737	0.12206070894178	0.69681860460169	0.3170603635411	2.0516767909389	0.051923112448157	0.086994108171463
9	1.0919966638567	0.13921079646459	0.029341174372367	0.12145812912336	0.66475337803921	0.31261526478943	1.9716013177634	0.051538505312237	0.086127337841827
9.2	1.015334817258	0.12898122101097	0.026676838142598	0.11970662203747	0.6156723217838	0.28968774450274	1.8333251734891	0.047277646383522	0.080671211185693
9.48	0.91562735603055	0.11458361085507	0.025085657191512	0.11922800279451	0.54668167232919	0.27160480492548	1.6448441546632	0.045596638556397	0.077196100641471
9.872	0.79305161324179	0.096214429614634	0.023951702447045	0.11868038396161	0.45877548361937	0.25581126482987	1.4106381146434	0.044519498219312	0.074273962331688
10	0.75689379675559	0.090846502311736	0.023571663739713	0.11789482533873	0.43310619933059	0.25074946227258	1.3421436632118	0.044042728117043	0.07319072689793
10.2	0.70006537446954	0.083680690549063	0.021568474842644	0.11538551379862	0.39885122692723	0.23498788573013	1.2370465161803	0.040311669277702	0.06902255095955
10.48	0.63812716299495	0.07536547655245	0.020209623983041	0.11506303145813	0.35910487871129	0.22182564168109	1.1190569477268	0.038616284170518	0.066090090074662
10.872	0.5804728696971	0.067187753769742	0.019468202807205	0.11531793273622	0.32001120119224	0.21262337628639	1.008031695535	0.037970458189207	0.064342852844918
11	0.56683876908677	0.065203899603738	0.019329120594079	0.11524358158838	0.31052406756364	0.21066698326004	0.9818531368499	0.037849420610247	0.063979249496453
11.2	0.54333201950875	0.062826729202425	0.017823934220872	0.10897265371624	0.29914993926164	0.2007604861898	0.94179653427549	0.034311479726936	0.060636566024741
11.48	0.52170452256402	0.060418188925485	0.016749913350592	0.1079826950628	0.28761007563	0.19287994523242	0.90215766078875	0.03256455649487	0.058337657852428
11.872	0.50558397044988	0.058421691619426	0.016262936930802	0.10826353368429	0.27801244918423	0.18867545026898	0.87103560471844	0.032040734149903	0.057366472045711
12	0.50239550829004	0.057989915795845	0.016206702327628	0.1083558721954	0.27592785493892	0.18808606790578	0.86471600459906	0.032005603773892	0.057263065316543
12.2	0.49139937944794	0.057395348086652	0.014874407431505	0.099925046259361	0.27305145658591	0.17949517905062	0.85052555540846	0.028685311413192	0.053973632822419
12.48	0.48232009264197	0.056820264251469	0.013859177968575	0.097911078350815	0.27025288902368	0.17236445910462	0.83683077779482	0.026861846518939	0.0515487594608
12.872	0.47706222940957	0.056459580260389	0.013377883032264	0.097725762011692	0.26845189167094	0.16864086769988	0.82778895677015	0.026228372995571	0.050472405403963
13	0.47634629656737	0.056407867773589	0.013322587586053	0.097736630954796	0.26817799323012	0.16817369920153	0.82640051163496	0.02617252223521	0.050357192943231
13.2	0.46834795410851	0.056171165560215	0.01218351609847	0.089610544273233	0.26700534901335	0.15997841332753	0.81818319255401	0.023422779248073	0.047296518825469
13.48	0.46216249730867	0.055961395507089	0.011314345010782	0.087532385233278	0.26594771968561	0.15321063858827	0.8103905840456	0.021884442453902	0.045036540970766
13.872	0.45936454272166	0.05593859952375	0.010902058671913	0.087239160250878	0.26575646447904	0.14972172450788	0.80635125541116	0.021336044156549	0.044029718379375
14	0.45920806626278	0.055969104387691	0.010854765098616	0.087224200480337	0.26587396764385	0.14929477139661	0.8060854131693	0.021285119989314	0.043921032664271
14.2	0.45223590244047	0.055790188034121	0.0099674424082719	0.080370332772633	0.26497655970065	0.14208833240925	0.79852039205845	0.019203156401355	0.041374477108035
14.48	0.44692993012844	0.055654844364872	0.0092996443168114	0.078629876657006	0.26427411943201	0.13626343996933	0.79137656114531	0.0180485531087	0.039525263752955
