# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	0.0019515219847258	0.0025808938131855	0.0030801084715721	1.3670278960707	1.0288569218412	3.1916613316449	0.012075997181136	0.63800665696222	1.1309066113548	0.051530504981788	1.9532440011404	0.036885020621646	6.9890980059155	0.040185245596899	1.0177229492523	0.0010486328153674	1.3327648045401e-07	1.3188980637237	2.1246677180321	2.0614957452526
0.48	0.0018695336620835	0.0029173867160193	0.0034089126412233	1.3679233364324	1.0302458393004	3.2010720487978	0.018004224503762	0.4824796563479	1.1317536690342	0.051722329312867	1.9538756190687	0.079758865773198	6.9884337055466	0.026998501390097	1.0180917224516	0.0012518654397197	1.4581082358635e-07	1.2145401784156	1.704577112314	1.6953660449859
0.872	0.0018692353740215	0.0029476368683747	0.0034945882206284	1.3699399319188	1.0321739784764	3.2160903780463	0.020646664934539	0.33470939479692	1.133299789042	0.051989683365599	1.9548527655479	0.11999749783915	6.9874944185876	0.018785949277407	1.0186450123619	0.0012965408750994	1.6156547192848e-07	1.1216871892827	1.2954494667761	1.2953642399512
1	0.0018688341423765	0.0029460259765607	0.0034975758581584	1.370725714922	1.0328013596203	3.2211897064404	0.020927691616845	0.29717295342564	1.1338373234123	0.052076918527692	1.955176337838	0.12833615017261	6.9871877730711	0.01731399906854	1.0188265358507	0.0012980132217946	1.6375620301714e-07	1.1028631509689	1.1860187278916	1.1860173469925
1.2	0.0012174384274619	0.0020638078727323	0.0028657809167051	1.3720726734565	1.0337679455339	3.2290962155799	0.022031622919837	0.24937872002637	1.1347045232775	0.052211704408094	1.9555971920149	0.17380881517617	6.9865269701913	0.016901111820783	1.019020613726	0.0010816047679712	1.5928999545135e-07	0.96073975649131	1.0340336958396	1.0340336817595
1.48	0.0012061041847643	0.0018765870732591	0.0026013743576869	1.3742531217847	1.0350785947605	3.2402187350738	0.022514565348223	0.18933908840137	1.1359559210585	0.052395440139654	1.9560523073648	0.22865211999707	6.9855246848749	0.015788167967811	1.0192056591279	0.0009781055643263	1.6024297793196e-07	0.78201881908254	0.85395642317669	0.85395641345447
1.872	0.0012063406901264	0.0018568391846046	0.0025515696152531	1.3777134587701	1.0368416975791	3.2559549140205	0.022631356024473	0.13193343538704	1.137732795281	0.052644338280624	1.9566328156076	0.27855060230238	6.9841204657402	0.015237277204072	1.0194450155964	0.00095703637130681	1.6042816903184e-07	0.61520086331904	0.6537765773774	0.65377657181579
2	0.0012063428314071	0.0018559639169684	0.0025492074989095	1.3789004433398	1.0374057236032	3.2611120547097	0.022629803110784	0.11680755611955	1.1383147911328	0.052724314750977	1.9568201408991	0.28846515500165	6.9836620404623	0.015216651673021	1.0195227282294	0.00095606715377909	1.605104750605e-07	0.58173090116221	0.59872233390267	0.5987223291278
2.2	0.00080495562993128	0.0012968032846815	0.0018981358680026	1.3808236041072	1.0382512465476	3.2687799319114	0.018113114358032	0.091828463276867	1.1391543245943	0.052844904641564	1.9570168707675	0.31630901173717	6.9828321382665	0.015678619685126	1.0195850139278	0.00072205088265962	1.4387063225278e-07	0.47930002298908	0.52185657163477	0.52185656780197
2.48	0.00079901757839176	0.0011827946074813	0.0016645663335391	1.3836607389258	1.039336933463	3.2786385264402	0.014762207615984	0.065103961102409	1.1401170124764	0.053001573064346	1.9571620010543	0.34651285883651	6.9816227600365	0.015387787318834	1.0196169219147	0.00063252596717593	1.312899989552e-07	0.36237376418167	0.43062063897936	0.43062063608348
2.872	0.0007996796211801	0.0011720953692568	0.0016256068070856	1.3878116319107	1.0407000140951	3.2915532583046	0.013455391082185	0.03727605781872	1.1412596884568	0.053201431420081	1.957316634609	0.37215123264633	6.9799293188591	0.014975973301566	1.0196495188884	0.00061679749232981	1.2381014597392e-07	0.26003826823987	0.32920461537301	0.3292046133459
3	0.0007998597886564	0.0011719790717553	0.0016243905221281	1.3891911882154	1.0411198839498	3.2956725861586	0.013336666553533	0.029546722863284	1.1416160935582	0.053263591097624	1.9573653654591	0.37711124075867	6.9793764774927	0.01489886618285	1.0196599017443	0.00061630946542819	1.2274314333783e-07	0.24009760644134	0.30131775935947	0.30131775754571
3.2	0.00054444069877159	0.00083583974798049	0.0012274488532399	1.3913855319344	1.041735487058	3.3017158581367	0.01010261607485	0.016323773665209	1.1420952401359	0.053355648080865	1.9573801051178	0.3850114745871	6.978439815833	0.014881229231343	1.0196396996583	0.00046983523798554	1.0960301570906e-07	0.20430656907277	0.26239996841121	0.26239996687942
3.48	0.00054122794975126	0.00076909767313975	0.0010897240236425	1.3945279249862	1.0425123065258	3.3094282993428	0.0081083359912393	0.0032750489204806	1.1425899599215	0.05347382943801	1.9573201497782	0.39198362487253	6.9770983187765	0.01456308508556	1.0195780445585	0.00041535001800928	1.0067131576719e-07	0.16825467696913	0.21624094390699	0.21624094268807
3.872	0.00054220626338108	0.00076376018095514	0.0010682756599634	1.3989925737432	1.0434856667314	3.3195755504117	0.0074612055359195	-0.010772817910156	1.1431506380767	0.053624943183879	1.9572071506553	0.39687631262297	6.9752202697986	0.014208833726858	1.0194846152605	0.00040632676532036	9.6089325788541e-08	0.13999631744548	0.16495350656912	0.1649535056733
4	0.00054251170159829	0.00076402104876021	0.0010680187358365	1.4004575785681	1.0437873355669	3.3228236659098	0.0074130524747527	-0.014731916136035	1.1433246896078	0.053672281183047	1.9571692199597	0.39773857318877	6.9746071620541	0.014140313873022	1.0194539604393	0.00040620071490513	9.5476153546902e-08	0.13478133548873	0.15085202375043	0.15085202293931
4.2	0.00037951987642074	0.00055680773235259	0.00082189070951593	1.4027597909907	1.0442383518528	3.3276433975555	0.0056969845943873	-0.021542804424185	1.1435433290154	0.053743696028356	1.9570707814667	0.39266511473972	6.9736026063781	0.013963360751693	1.019383319157	0.00031379912509358	8.7901823491145e-08	0.12486365377587	0.13117644368541	0.13117644298969
4.48	0.00037793564201498	0.00051646977457039	0.00073833675811132	1.4059950501653	1.0448265905451	3.3339431279773	0.0047569495067521	-0.028053201523149	1.1437463772787	0.053838240076991	1.9568825049297	0.3851640118622	6.9721770506022	0.013803888110348	1.0192637979869	0.0002800302058458	8.3203255837182e-08	0.11385292291531	0.1078473322245	0.10784733166157
4.872	0.0003793012936946	0.00051423439062002	0.0007267022510373	1.4105095719754	1.0455910662552	3.3423889428746	0.004488012393768	-0.034853830584385	1.1439651207341	0.053963197486028	1.9566009955105	0.37750793870909	6.9701815192994	0.013630900797683	1.0190921203461	0.00027493284869494	8.0891369281756e-08	0.10463406599419	0.081933105732727	0.081933105312445
5	0.00037975058296899	0.00051476882127208	0.00072707059177239	1.4119786341755	1.04583206425	3.3451061258818	0.0044724948868472	-0.036747132934361	1.1440324799843	0.054002936386813	1.9565084395832	0.37592328066652	6.9695300576767	0.013594600002225	1.0190359763525	0.00027504792611069	8.0568669732541e-08	0.10288177692101	0.074809059981515	0.074809059599584
5.2	0.00027678204580881	0.00038615599788851	0.00057385608295276	1.4142690848942	1.0461965933161	3.3491824830221	0.0035526091010231	-0.039970864281729	1.144104532237	0.054063522552801	1.9563390357748	0.36625943130799	6.96848283363	0.013366193368844	1.0189340727973	0.00021678334771757	7.6038337427089e-08	0.098557668574094	0.064872574222499	0.064872573893458
