# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
0.2	29.068773870342	8.6587542058603e-05	0.00021137500574074	0.0008665842373566	0.0019434032782494	0.0044701667291821	0.0002343519897919	1.6386030878479
0.48	29.104418995068	2.784625621738e-07	7.4335620490752e-05	0.00026259593645166	0.0017856186247365	0.023354522214145	9.4407964428203e-05	1.5765586132981
0.872	29.183835635436	2.3497358741907e-06	8.4785839331664e-05	0.00024784924555877	0.0032364533128984	0.08036266460709	0.00010525111048908	1.4371408155423
1	29.207524926516	2.2801966891082e-06	8.6043482664421e-05	0.00025323904490519	0.0035716826305592	0.098289693154175	0.0001080898805929	1.3955145194914
1.2	29.237779325504	2.0204156202513e-06	8.3575817572384e-05	0.00025250611440206	0.0038787998725424	0.12107764951705	0.00010793805628973	1.3443059731787
1.48	29.30235306147	1.5459363408737e-06	6.7116771322693e-05	0.00021932464603905	0.0040894913835138	0.16127235886162	9.3323130206931e-05	1.2305924232143
1.872	29.457830671982	1.4791783792969e-06	5.564347092767e-05	0.0001860050369719	0.004217585891466	0.24506017565079	7.8445999289252e-05	0.95635834907183
2	29.505590454275	1.4840146486745e-06	5.4800011400941e-05	0.00018225189211805	0.0042355188621254	0.27013797785858	7.677639448645e-05	0.87210443287355
2.2	29.564442572076	1.3275591300754e-06	5.2685639483639e-05	0.00017678119326574	0.0042174621626335	0.30058130685653	7.450969390858e-05	0.76947094263172
2.48	29.633688188426	1.0352772302635e-06	4.2351057860663e-05	0.00014697518156949	0.0035920977881098	0.33454929546413	6.2177757933172e-05	0.6473635081944
2.872	29.73938655306	9.9866693726747e-07	3.5322427062785e-05	0.00011922941497814	0.0025800845345696	0.38204433867238	5.0621577825351e-05	0.46081382706345
3	29.768955454159	1.0034232064621e-06	3.484951492595e-05	0.0001162955088697	0.0023954603004881	0.39506237416154	4.9410880752042e-05	0.40862580560554
3.2	29.804286091534	9.0504056475966e-07	3.365172115292e-05	0.00011283887813819	0.0022348508642458	0.41054177890766	4.8005553596968e-05	0.34668834106976
3.48	29.837092017967	7.1856569773901e-07	2.7519180000659e-05	9.5118997024297e-05	0.0018315236341787	0.42408583961866	4.0529975125661e-05	0.28887682456659
3.872	29.870598007364	7.0086708070465e-07	2.3427625988957e-05	7.8926188849888e-05	0.0013131202154972	0.43547496617987	3.3618143064299e-05	0.22976484539551
4	29.878752965909	7.0627805188415e-07	2.3198359666763e-05	7.7339564914857e-05	0.0012278756709286	0.43799110196628	3.2943141967985e-05	0.21537615630881
4.2	29.888052187709	6.4549931348313e-07	2.2551220180185e-05	7.5508776216988e-05	0.0011583301474661	0.44086312117989	3.2185221223502e-05	0.19912693694018
4.48	29.896859711105	5.2644247513174e-07	1.8823760128352e-05	6.4827525828193e-05	0.00097761138936617	0.43957088002119	2.7611070635391e-05	0.18361076342925
4.872	29.907150572313	5.2374493348767e-07	1.6426386391486e-05	5.524038690902e-05	0.00075350873111865	0.42833116729472	2.3441481240656e-05	0.16544230921007
5	29.909820965821	5.3088669446247e-07	1.635343759215e-05	5.4452523905861e-05	0.00071934108594203	0.42449388949692	2.3095263300398e-05	0.16072886862446
5.2	29.912956592679	4.9640119011889e-07	1.6075125958094e-05	5.3683065177584e-05	0.00069352700992816	0.41978852808773	2.2770350200183e-05	0.1552741688755
5.48	29.916433083174	4.2316972230214e-07	1.3839556957564e-05	4.737070308536e-05	0.00060875971070993	0.41148140385557	2.0029714193077e-05	0.14913921988865
5.872	29.921659071338	4.371443974499e-07	1.2548749759891e-05	4.1971717475012e-05	0.00050392889093388	0.39333097698693	1.7626847818309e-05	0.13989550083119
6	29.923140506485	4.4833708165118e-07	1.2611828222275e-05	4.1769283969898e-05	0.00049000646533829	0.38785008030565	1.7523839749185e-05	0.13727686349873
6.2	29.924960771561	4.3650668701278e-07	1.2648975424937e-05	4.1887661465342e-05	0.00048287364129479	0.38130466647342	1.7561523089772e-05	0.13409731273974
6.48	29.927107620605	4.0144351150547e-07	1.1468389742443e-05	3.8672507260163e-05	0.00044371695954193	0.3725365506587	1.6118140492096e-05	0.1302909966809
6.872	29.930485787584	4.4602599517942e-07	1.1108703585419e-05	3.6540626308371e-05	0.00039669563845996	0.3569299581784	1.5075264435024e-05	0.12429199040313
7	29.931480759023	4.6825902620194e-07	1.1361013271944e-05	3.6974649236521e-05	0.00039359624490575	0.35243714188356	1.5229239218828e-05	0.12252690446534
7.2	29.932770681006	4.8904955587793e-07	1.1814807802302e-05	3.8220953274462e-05	0.00039912146490293	0.3472394578558	1.571473450549e-05	0.12024731871769
7.48	29.93436821326	5.1129126912221e-07	1.1676488985931e-05	3.800201143996e-05	0.0003908311547947	0.34059517621145	1.547825310037e-05	0.11738953329251
7.872	29.936902767398	6.5130602472193e-07	1.265861319636e-05	3.9898041882392e-05	0.00038705618325787	0.32902279180407	1.6015533196408e-05	0.1128532168352
8	29.937691635365	7.1436190105815e-07	1.3346965894387e-05	4.1517396644861e-05	0.00039475061522543	0.32577370795879	1.662187391743e-05	0.11144423577163
8.2	29.938808065503	8.3250026987492e-07	1.4724283497237e-05	4.507456290685e-05	0.00041736421030933	0.32222436413552	1.7981356930492e-05	0.10943597902266
8.48	29.940294762601	1.0547430375318e-06	1.6486137560993e-05	4.9815024453723e-05	0.00044542217911922	0.31741816474227	1.9589503226053e-05	0.10674717151125
8.872	29.942632571458	1.6659612845179e-06	2.0972774486052e-05	6.042811194243e-05	0.00050179236461991	0.30805208061848	2.3255873127083e-05	0.10252786404623
9	29.943401940222	1.9454433071732e-06	2.3043113129978e-05	6.5230948155401e-05	0.00052915506988014	0.30543129429054	2.499234843649e-05	0.10114678455769
9.2	29.944574942268	2.5602992366139e-06	2.7225470400025e-05	7.4945482927177e-05	0.00058660111995689	0.3027423605316	2.8524811583547e-05	0.099016466291576
9.48	29.94619416075	3.8944387428127e-06	3.4152096362344e-05	9.1155924186301e-05	0.00067749684749025	0.2987709122911	3.3982287870435e-05	0.096084184610538
9.872	29.948532014775	7.1715167379117e-06	4.8292028686817e-05	0.00012170502390873	0.0008332945250675	0.28981978419181	4.394358415188e-05	0.09187177068865
10	29.949282711559	8.5759958335352e-06	5.3956518821865e-05	0.00013343662692962	0.00089250136762833	0.28722557373949	4.7839528311372e-05	0.090529566013448
10.2	29.950413765359	1.1384182404869e-05	6.4312097669005e-05	0.00015446445251512	0.00099840621404984	0.28447103749141	5.4860356624545e-05	0.088488770927237
10.48	29.951864221436	1.6414483720139e-05	7.8666636997417e-05	0.00018457547043349	0.001144694205316	0.28015321064171	6.4076724329043e-05	0.085877536197046
10.872	29.953583367865	2.4980861467615e-05	9.846191610124e-05	0.0002247476018355	0.0013241264174223	0.27012712082658	7.5232391613471e-05	0.082779667831319
11	29.954065571421	2.7826537937836e-05	0.00010494656191878	0.00023727892272311	0.0013787263044498	0.26708273676562	7.8765660928809e-05	0.081912912401075
11.2	29.954728097027	3.2120208808692e-05	0.00011487989054741	0.00025622828128939	0.0014618799265598	0.26353148780682	8.4273887373566e-05	0.080716283862884
11.48	29.955485833304	3.6592585427552e-05	0.00012236402152681	0.00027369091612288	0.001539012061708	0.25819053889282	8.8403269909162e-05	0.079344226045846
11.872	29.956307012506	4.1088446641384e-05	0.0001247174312533	0.00028305241166058	0.0015726950039239	0.24718755265087	8.8460130746336e-05	0.077846056156249
12	29.956521504088	4.2307715449263e-05	0.00012543870521833	0.00028517831132825	0.0015787080646724	0.24387432386339	8.8376990467771e-05	0.077454653940968
12.2	29.956794445286	4.3743836855846e-05	0.00012687383734032	0.00028860443039107	0.0015896089692681	0.23989500656627	8.8651151938716e-05	0.076959614455848
12.48	29.957130441328	4.3451518524344e-05	0.00012334638415082	0.00028558089373164	0.001574101955219	0.23426482757136	8.636805211868e-05	0.076350810430211
12.872	29.957648850948	4.228209199947e-05	0.00011339828618629	0.00027118701117972	0.0015026732763652	0.22366274508464	7.9484375990863e-05	0.075406876351727
13	29.957801383831	4.2118867756261e-05	0.00011108362685322	0.00026733907658974	0.0014821345774688	0.22052333714272	7.7683511217059e-05	0.075128994113139
13.2	29.957992463536	4.1842259239786e-05	0.00010880989706907	0.00026337553584638	0.0014598637392807	0.21674491770068	7.5835026714939e-05	0.074785355348156
13.48	29.958258880464	3.9873577859514e-05	0.00010266425682911	0.00025376598725341	0.0014132871108645	0.21148084483749	7.1970158815303e-05	0.07430620236397
13.872	29.958779711562	3.7288249441246e-05	9.1839774891248e-05	0.00023495396428477	0.0013191514132733	0.20178242815543	6.4623430520849e-05	0.073366280657149
14	29.958940330347	3.6805829510847e-05	8.9366963707448e-05	0.00023020987061486	0.0012939689688493	0.19892338659098	6.2779055447774e-05	0.073076217099311
14.2	29.959139189638	3.6177231166913e-05	8.6841315261896e-05	0.00022514534970981	0.0012661298409963	0.19548349149909	6.0843748323475e-05	0.072720397610615
14.48	29.959414066819	3.4191474372096e-05	8.1580256838615e-05	0.00021576340911516	0.0012188722201172	0.19060616938486	5.747219610386e-05	0.072227490477642
14.872	29.959960019305	3.1742623628265e-05	7.3043864740096e-05	0.00019936966363112	0.0011336782655618	0.1814920282866	5.1609291844855e-05	0.071247599919791
15	29.960128600685	3.1263411129144e-05	7.1095429500554e-05	0.00019527568791609	0.0011112468655283	0.17879780466626	5.0152291794573e-05	0.070945057540836
15.2	29.96033525406	3.0641894847579e-05	6.9072537264904e-05	0.00019084896067182	0.0010863083741931	0.17555508161865	4.8611607777604e-05	0.070575440167868
15.48	29.960618416082	2.8949946070936e-05	6.5097800836379e-05	0.00018310380573329	0.0010460729496333	0.17085318732906	4.6043236415485e-05	0.070067651016652
15.872	29.961183503772	2.6871108913815e-05	5.8791066960456e-05	0.00016998352697402	0.00097600598659021	0.16190368347662	4.1693742787103e-05	0.069056904851283
16	29.961358622284	2.6445074174753e-05	5.7338103625199e-05	0.00016669161565472	0.00095757833374545	0.15924934538648	4.0611267767268e-05	0.068744068640939
16.2	29.961572362586	2.5882306650032e-05	5.5797317973135e-05	0.00016306995258918	0.00093688852343277	0.15605269015493	3.9453001877653e-05	0.068361239642684
16.48	29.961866437009	2.4461152185139e-05	5.2825510339472e-05	0.00015681333265074	0.00090390201008086	0.15138603071566	3.7539012203763e-05	0.067833213176117
16.872	29.96246054353	2.270014443931e-05	4.8144693281729e-05	0.0001463220677696	0.00084716454454998	0.14246480156692	3.4325830424282e-05	0.066772836804305
17	29.962645891439	2.2321977607245e-05	4.7048808468013e-05	0.00014365941776201	0.00083215574411883	0.13981808004276	3.3519736634397e-05	0.066442770592737
17.2	29.962872069598	2.1811524154934e-05	4.5854258132913e-05	0.00014066370729201	0.0008150522446167	0.13663019662167	3.2641799745386e-05	0.066036887082855
17.48	29.963184360202	2.0598179489985e-05	4.357577323004e-05	0.00013549807989454	0.00078775261626294	0.13201474630243	3.1188514545743e-05	0.065475210775464
17.872	29.963819940836	1.9084347735471e-05	4.0004104781897e-05	0.00012689044712496	0.00074108593618211	0.12326689992838	2.875935459085e-05	0.0643420162541
18	29.964019388331	1.8745830261527e-05	3.9151266035375e-05	0.0001246759614341	0.00072863259345946	0.12067792163881	2.8142776890896e-05	0.063987515331529
18.2	29.964263190005	1.8280050657522e-05	3.8192525661698e-05	0.00012212368906774	0.0007141886218845	0.11756138725803	2.7456276543304e-05	0.063549179221053
18.48	29.96459997162	1.722875553808e-05	3.6383463637066e-05	0.0001177240808338	0.00069101729648382	0.11310512596052	2.6314877232151e-05	0.062942415095023
18.872	29.965286290841	1.5916127282624e-05	3.356419442773e-05	0.00011044647282748	0.00065162570693439	0.10476255344203	2.4415402405096e-05	0.061719127840777
19	29.965502537068	1.5613510357077e-05	3.2877490364804e-05	0.00010855071349029	0.00064101927962468	0.1023018423611	2.3926950239091e-05	0.061335112020651
19.2	29.965767530867	1.5190446887247e-05	3.2081902646914e-05	0.00010631639080368	0.00062849878166922	0.099342858029927	2.337013117191e-05	0.060857851537815
19.48	29.966133534573	1.4273919540594e-05	3.0595947523328e-05	0.00010246539123482	0.00060829376094143	0.095151585406399	2.2439812898227e-05	0.060197378643799
19.872	29.966878376844	1.3135580872263e-05	2.8297324489149e-05	9.6151182985641e-05	0.00057415521074989	0.087382654930377	2.0899992546553e-05	0.058869560709483
20	29.967113749388	1.2867592619906e-05	2.772757993177e-05	9.4490459370582e-05	0.00056489382371008	0.085098366768665	2.0499108385758e-05	0.058451698312846
20.2	29.967403018567	1.2487844024024e-05	2.7049745300689e-05	9.2496103789597e-05	0.00055378876781111	0.08235511304034	2.0031759945058e-05	0.057929942011614
20.48	29.967802381137	1.1690263236927e-05	2.5794798807525e-05	8.9058560858784e-05	0.00053576838804572	0.078492581858275	1.9247380442234e-05	0.05720824334886
20.872	29.968612434154	1.0710024208832e-05	2.3871267777946e-05	8.3479489529237e-05	0.00050553976296328	0.071384346250951	1.7958075027685e-05	0.055763632505705
21	29.968868894301	1.0476199403773e-05	2.3388122749916e-05	8.2003148536338e-05	0.0004972969567752	0.069300451635562	1.7619059984236e-05	0.055308287128037
21.2	29.969185140272	1.0140875015525e-05	2.2800777190137e-05	8.0204129191035e-05	0.00048728740660009	0.06680164627272	1.7216155325125e-05	0.054737262628383
21.48	29.96962048707	9.4534019614742e-06	2.1721665729572e-05	7.7104405733565e-05	0.00047097820994698	0.06330416730706	1.6537726103113e-05	0.053949722495337
21.872	29.970496824774	8.6219034244096e-06	2.0087222304851e-05	7.2135402903975e-05	0.00044387104431018	0.056916143485965	1.5433069970495e-05	0.052386244333127
22	29.970774365832	8.422264273647e-06	1.9673467145072e-05	7.0817957571372e-05	0.00043646569242766	0.055049777674606	1.5140879493834e-05	0.051893357736416
22.2	29.97111783183	8.1327867099045e-06	1.9162282856676e-05	6.9195875079076e-05	0.00042739137886102	0.052816037596274	1.4788456791133e-05	0.05127291950148
22.48	29.971587032571	7.5509081068301e-06	1.8229553738758e-05	6.6404322359276e-05	0.00041257546624313	0.049718101701339	1.4194133368577e-05	0.05042371949762
