# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.3351028021918	1.1833372555788	1.8418327768657
0.48	1.2372051810003	1.195349642027	2.0912983362946
0.872	1.147124983313	1.2212598426324	1.4052897932657
1	1.1285864316657	1.2273720718654	1.3446359649183
1.2	0.98671876509582	1.2604162269751	1.2352270060399
1.48	0.80811286435278	1.2950245585738	1.1841866249813
1.872	0.64134082533007	1.3257735328999	1.1124454441428
2	0.60786597892568	1.3320084981298	1.0946295673898
2.2	0.50003332409777	1.3362205307709	1.0709174324177
2.48	0.37943306409837	1.338471108684	1.0443553244884
2.872	0.27573606362147	1.3405196040634	1.0166182379094
3	0.25567497298243	1.3410525131784	1.0092917252645
3.2	0.21610646923884	1.3332266192759	0.99926949871725
3.48	0.17786808700202	1.324546670475	0.98767463214967
3.872	0.14893212540669	1.3173442964891	0.97514432556901
4	0.14366860741422	1.3160040279348	0.97176152307422
4.2	0.13169632820487	1.2902223606733	0.96708519057874
4.48	0.11962823938602	1.2587544695899	0.96160496167861
4.872	0.11012371348769	1.2292440379911	0.95559741299839
5	0.10835639032574	1.2233080574736	0.95396033692008
5.2	0.10290091710579	1.1893801785143	0.95168725640632
5.48	0.096902938406299	1.1501330012807	0.94900942577734
5.872	0.091790833785365	1.1144272940894	0.94605712075855
6	0.090790492874724	1.1073246097849	0.94524957056963
6.2	0.087660238329888	1.0775785461449	0.94412669907037
6.48	0.084102284999252	1.0447162632668	0.94280233948627
6.872	0.08088157340896	1.0156406548187	0.94134159104291
7	0.080203165689944	1.0099527221177	0.94094206236952
7.2	0.078339555289378	0.98658574881324	0.94038727792274
7.48	0.076106261666083	0.96128163340707	0.93973519556667
7.872	0.073793707910908	0.93926901286195	0.93902147628667
8	0.073222570413121	0.93507538772738	0.93882765541584
8.2	0.072036094514516	0.91494532161513	0.93856064849604
8.48	0.070420173599806	0.89298950705791	0.93825175463837
8.872	0.06829545667136	0.87414459833001	0.9379241821338
9	0.067660134094329	0.87070367577483	0.93783770908221
9.2	0.066681321900391	0.85148135774319	0.93772179934429
9.48	0.0651909545371	0.83020776977341	0.93759424350676
9.872	0.063034760528282	0.81198394224602	0.93747024589503
10	0.062371882961274	0.80868499432281	0.93743977799472
10.2	0.061490970993386	0.78976979875658	0.93740118132959
10.48	0.060284432686999	0.76823382984793	0.93736230415496
10.872	0.058842518559374	0.74900874209593	0.93732876485083
11	0.058455128868944	0.74528992620422	0.93732117950995
11.2	0.057904395553965	0.72668000933126	0.93731206151479
11.48	0.057216856471497	0.70504023390529	0.93730362799544
11.872	0.056523205280026	0.68532548447086	0.93729710468019
12	0.056362922273827	0.68138887669795	0.93729572298351
12.2	0.055942317694414	0.66397488652695	0.93729422997419
12.48	0.055380685747698	0.64364617500992	0.93729327809875
12.872	0.054824008492826	0.62517358913558	0.93729306896227
13	0.05470712741609	0.62147251381116	0.93729309539206
13.2	0.054247578930505	0.60565639990798	0.93729335996125
13.48	0.05363581530459	0.58708289696344	0.9372942036087
13.872	0.053039667982022	0.57022450850584	0.93729557605458
14	0.052918709680874	0.56684698093055	0.93729596405905
14.2	0.052436275895922	0.55210606229445	0.93729671681325
14.48	0.051804439179154	0.53461677974339	0.93729813414824
14.872	0.051193194802261	0.51870096906186	0.93730008718093
15	0.051070020915747	0.51551033713207	0.93730061858257
15.2	0.05059099510616	0.50115124658925	0.93730159626427
15.48	0.049961518322589	0.48395851930826	0.93730334806492
15.872	0.049346315373686	0.4682683814501	0.93730571680458
16	0.049221560493026	0.46512113060686	0.93730636149092
16.2	0.048745214031862	0.4508508771269	0.93730753543053
16.48	0.048110408230319	0.43369079844476	0.93730961972559
16.872	0.047478488983289	0.41802364650083	0.9373124469076
17	0.0473488140588	0.41488160767257	0.93731322241782
