# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	2.3187585338754	4.0809722613196	4.2014166540401e-05
0.48	2.1615071092962	1.4885939030361	5.364195499796e-05
0.872	1.2472985464431	0.65325498191132	3.4629830916765e-05
1	0.67732972804503	0.35895383966836	2.0306531762472e-05
1.2	1.5055822640391	1.3244522090791	4.4328223356319e-05
1.48	0.25244274860171	0.23771147172852	9.8413638265743e-06
1.872	0.045079232353393	0.058658820022128	2.323066755565e-06
2	0.031253259343126	0.04619823187382	1.7819271308445e-06
2.2	0.24736826301172	0.59499244682419	1.3462231645527e-05
2.48	0.038126831371521	0.11419675024939	2.7360679352599e-06
2.872	0.0090016012189509	0.044632804127104	1.0323617461106e-06
3	0.0067786386312384	0.041469112977447	9.4555589626364e-07
3.2	0.011918036285631	0.15826141316131	2.4337989268023e-06
3.48	0.0016623060386643	0.053278162190574	8.1834803100926e-07
3.872	-0.0010320539999918	0.035013626670836	5.2591410643283e-07
4	-0.0015994137670844	0.034130433217696	5.0883585282048e-07
4.2	0.0096586778510785	-0.10862794847263	-1.243371322662e-06
4.48	-0.0020151853538643	0.0187864504185	2.0774863761394e-07
4.872	-0.0038602069974363	0.028748471571245	3.1341218583556e-07
5	-0.0041030792739127	0.028868547456711	3.1354429362747e-07
5.2	0.042423077639877	-0.25273874873072	-2.300341537624e-06
5.48	-0.00013208652722869	0.00077058084036867	6.6734018370617e-09
5.872	-0.0044153570500989	0.024361404483369	2.0910895768028e-07
6	-0.0045543998261433	0.024717327582393	2.1183829453821e-07
6.2	0.064751321749868	-0.32045058529919	-2.4681444977506e-06
6.48	0.0018141862216948	-0.0091738034503122	-6.687161571154e-08
6.872	-0.0040130701947457	0.020239164998568	1.4679699158731e-07
7	-0.0040873416956326	0.020581268418435	1.4926936341421e-07
7.2	0.071954845339481	-0.34137371520958	-2.3573680403054e-06
7.48	0.0030587026193054	-0.015111153792456	-9.8831787821358e-08
7.872	-0.0030944529848646	0.015708798007199	1.026139610129e-07
8	-0.0031075568185322	0.015904006129719	1.040226575977e-07
8.2	0.066278158068068	-0.32904325494852	-2.1409529489277e-06
8.48	0.0036529753143455	-0.019164126945729	-1.1880346225438e-07
8.872	-0.0017536841321657	0.0097635750775291	6.0775161429768e-08
9	-0.0016967239907185	0.0096394345276253	6.0186003530577e-08
9.2	0.049350516992937	-0.2845989348668	-1.8094171459346e-06
9.48	0.0036470160832335	-0.022705204370558	-1.3916253882851e-07
9.872	-0.00017624213765703	0.0012256002770919	7.5882443504228e-09
10	-0.0001044005476442	0.00075522154850637	4.696945440694e-09
10.2	0.026723178741331	-0.21100229118385	-1.3280554801074e-06
10.48	0.002894583027104	-0.02544740422546	-1.5637428104958e-07
10.872	0.00079177387722623	-0.0082886058950345	-5.1389213263966e-08
11	0.00077940959618587	-0.0086773341694357	-5.3984201923155e-08
11.2	0.010125821468193	-0.1334186842547	-8.1605973152437e-07
11.48	0.0016845562308007	-0.025554960041278	-1.5391060776338e-07
11.872	0.00077758875291624	-0.015040959265125	-9.1000838154011e-08
12	0.00072056423930741	-0.015200291347223	-9.2136204510771e-08
12.2	0.0027015188064522	-0.074312295063772	-4.315058962322e-07
12.48	0.00071052491759218	-0.023925765133604	-1.3774191764087e-07
12.872	0.0003787713359698	-0.0188737608174	-1.0892992789853e-07
13	0.00032621898827514	-0.018973365423904	-1.0961700396801e-07
13.2	0.00033642991489751	-0.03502759556356	-1.9123171442391e-07
13.48	0.00011704657223396	-0.02228596702252	-1.2127179219501e-07
13.872	-2.3114109849171e-05	-0.021126740282298	-1.1516220758911e-07
14	-6.3373650424661e-05	-0.021250025577834	-1.1590409136183e-07
14.2	-7.678048662205e-05	-0.0096372035016926	-4.9372878776972e-08
14.48	-0.0002308920313257	-0.02111078483441	-1.0820776791991e-07
14.872	-0.00034370154490191	-0.022560717665515	-1.1580234798361e-07
15	-0.00037509651327096	-0.022720587959227	-1.1666665546076e-07
15.2	0.00014280958366227	0.0072187179550479	3.4673327389214e-08
15.48	-0.0004465799144717	-0.020311386466113	-9.7865658099039e-08
15.872	-0.00059058334487192	-0.023526877758845	-1.1350467072773e-07
16	-0.00061727972954612	-0.023720335230453	-1.1446642542746e-07
16.2	0.00054269600253807	0.019207480218372	8.627250571192e-08
16.48	-0.00059359072817818	-0.019730370709452	-8.9064963232865e-08
16.872	-0.00078933413757946	-0.024217874052469	-1.0946167319234e-07
17	-0.00081470576458531	-0.024442329050271	-1.1049615438715e-07
17.2	0.0010028024849342	0.028677317812328	1.1988897237576e-07
17.48	-0.00070613534451728	-0.019251757943869	-8.1004450761715e-08
17.872	-0.00096419553625707	-0.024755005755284	-1.042996137876e-07
18	-0.00099085086025967	-0.02501062746184	-1.0539227827773e-07
18.2	0.0015185532846924	0.037091867085018	1.4338792373037e-07
18.48	-0.00080283193535296	-0.018803538530991	-7.3249746169835e-08
18.872	-0.0011340017792934	-0.025218580209233	-9.8382551852385e-08
19	-0.0011640482782572	-0.025507926826674	-9.9525103875502e-08
19.2	0.002122890858303	0.045351610499141	1.6073260240371e-07
19.48	-0.00089384211809147	-0.018344563415354	-6.5591648986702e-08
19.872	-0.0013128405000207	-0.025663568002716	-9.1908873110601e-08
20	-0.0013481908530355	-0.025991066080196	-9.3094917496431e-08
20.2	0.0028623791026784	0.054019360364756	1.7362603367177e-07
20.48	-0.00098465165885495	-0.017852976542745	-5.7955906957218e-08
20.872	-0.0015118311766074	-0.02612999019605	-8.4978748281676e-08
21	-0.0015544580064038	-0.026501561700371	-8.6200420803783e-08
21.2	0.0037915451570921	0.063455684780464	1.8254881478142e-07
