Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	2.4526922362056E-4	6.741583640521E-4	0.026482537241434	6.9310100242276E-5	0.037304986644346	-0.24489621194778	5.2890612788392E-7	0.028786970832826	
0.48	2.1278159850644E-4	7.3079265793324E-4	0.0101133396500994	6.5358570430872E-5	0.020433335618354	-0.20011277082754	4.5194523950122E-8	0.016406354102739	
0.872	6.9767816970104E-5	2.6558793855746E-4	5.8493384652422E-4	2.2029787367966E-5	0.007573939128378	-0.152595611630288	9.180017202076E-10	0.077273701419756	
1.0	3.8726927864172E-6	1.37721744594338E-5	1.2472389442742E-5	1.27105603504992E-6	5.7441711943254E-4	-0.139777204255268	2.0504837933796E-11	0.090559774292688	
1.2	1.0215124160782301E-7	4.8447994973912E-7	2.6854394821503E-7	3.4728438594664E-8	9.349832336335E-6	-0.121962951136229	4.1542544478570997E-13	0.11552764453598399	
1.48	7.705538003152101E-8	3.9249714218741E-7	1.9128387175639499E-7	2.6361636297528E-8	6.5111071187254E-6	-0.10084800867664401	3.511239074451E-13	0.130310815098577	
1.872	5.1101778214263E-8	2.772404957618E-7	1.21591408043242E-7	1.7553797514218103E-8	3.672534049186E-6	-0.077355794990602	2.7487763298044E-13	0.153800645047205	
2.0	4.5787013597041E-8	2.5081255961168E-7	1.08675161744181E-7	1.5748006606312502E-8	3.1106775478741E-6	-0.070891390813434	2.6049692766259E-13	0.160263847212653	
2.2	3.9162966266889005E-8	2.1619026436196E-7	1.0720473717476901E-7	1.3489101594209599E-8	2.3510423452253004E-6	-0.061866404101267	2.4329395400572E-13	0.169288037802918	
2.48	3.2243570152052005E-8	1.77577999879638E-7	8.5948585899686E-8	1.11207561162201E-8	1.65138325815599E-6	-0.051150777851912	2.2619872244529E-13	0.180002890910881	
2.872	2.5371443091451E-8	1.373636277136E-7	6.5090047240682E-8	8.758135338876701E-9	1.11444191455535E-6	-0.039236233685184	2.1036085850889001E-13	0.191916817427389	
3.0	2.3587835786634002E-8	1.26733361953397E-7	6.0090715581677E-8	8.1444056528238E-9	1.00140971971529E-6	-0.035959514898918	2.0647361000790999E-13	0.195193378186318	
3.2	2.1143556800701E-8	1.1212667259957699E-7	6.0284246346364E-8	7.299379649951401E-9	7.800902610574601E-7	-0.031386652403380996	2.0133736334216E-13	0.199766003245597	
3.48	1.82939723084076E-8	9.5271741132961E-8	5.1049118874337995E-8	6.3112452439635E-9	5.8104319505486E-7	-0.025960531215444997	1.95638166571738E-13	0.20519189504299	
3.872	1.51305306029202E-8	7.7011925191382E-8	4.1260878826362996E-8	5.2101973619143E-9	4.3968619607858E-7	-0.019929311069943	1.8975247504573398E-13	0.21122294011391	
4.0	1.42525463481894E-8	7.203054114641001E-8	3.8826680750102995E-8	4.9043776025111E-9	4.112608853156E-7	-0.018270364288649102	1.8820925691224E-13	0.21288184668608	
4.2	1.30090194508803E-8	6.498080501487E-8	3.8566669363030997E-8	4.4696609528968E-9	3.3983814336895E-7	-0.015955459572695098	1.8610697587283799E-13	0.21519667124578	
4.48	1.15001860669188E-8	5.6652964398444E-8	3.3836188891186E-8	3.9410125949048E-9	2.8457113585022E-7	-0.0132087315271597	1.83686411417016E-13	0.21794332878611	
4.872	9.7505351721255E-9	4.7303942581425E-8	2.8892144159416E-8	3.3262963887072E-9	2.4684702219131E-7	-0.010151701443334899	1.81081822807532E-13	0.22100030427084	
