# [h]	[g/L]
# Time	rho_l	rho_s	
0.2	1000.0756585309	953.2143267141
0.3939181716763	1000.0691273491	953.48826618585
0.66540361202311	1000.0601327363	953.86555931001
0.79401985657861	1000.0559371207	954.04181839884
0.97408259895631	1000.0501517192	954.28592506881
1.2261704382851	1000.041167078	954.29206028214
1.5790934133454	1000.0291472996	954.30005493387
2.0731855784298	1000.0144458448	954.30896885733
2.7649146095479	1000.0033973394	954.31119032532
3.4547281678275	1000.0006127062	954.30456322527
4.3309554431579	1000.0002095194	954.29283566803
5.3309554431579	1000.0001997491	954.27906855943
6.3309554431579	1000.0001980009	954.2654023353
7.3309554431579	1000.000196205	954.25184473793
8.3309554431579	1000.0001944318	954.23839471868
9.3309554431579	1000.0001926788	954.22505131591
10	1000.0001915167	954.21618296939
